t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t37.447; p1, 0.164148, -0.353292, 0; p2, -0.164148, 0.353292, 0; p3, 0, 0, 0
t37.448; p1, 0.163379, -0.35379, 0; p2, -0.163379, 0.35379, 0; p3, 0, 0, 0
t37.449; p1, 0.162609, -0.354286, 0; p2, -0.162609, 0.354286, 0; p3, 0, 0, 0
t37.45; p1, 0.161838, -0.354781, 0; p2, -0.161838, 0.354781, 0; p3, 0, 0, 0
t37.451; p1, 0.161066, -0.355273, 0; p2, -0.161066, 0.355273, 0; p3, 0, 0, 0
t37.452; p1, 0.160293, -0.355764, 0; p2, -0.160293, 0.355764, 0; p3, 0, 0, 0
t37.453; p1, 0.15952, -0.356253, 0; p2, -0.15952, 0.356253, 0; p3, 0, 0, 0
t37.454; p1, 0.158746, -0.356741, 0; p2, -0.158746, 0.356741, 0; p3, 0, 0, 0
t37.455; p1, 0.157971, -0.357226, 0; p2, -0.157971, 0.357226, 0; p3, 0, 0, 0
t37.456; p1, 0.157195, -0.35771, 0; p2, -0.157195, 0.35771, 0; p3, 0, 0, 0
t37.457; p1, 0.156418, -0.358192, 0; p2, -0.156418, 0.358192, 0; p3, 0, 0, 0
t37.458; p1, 0.155641, -0.358672, 0; p2, -0.155641, 0.358672, 0; p3, 0, 0, 0
t37.459; p1, 0.154863, -0.35915, 0; p2, -0.154863, 0.35915, 0; p3, 0, 0, 0
t37.46; p1, 0.154084, -0.359627, 0; p2, -0.154084, 0.359627, 0; p3, 0, 0, 0
t37.461; p1, 0.153304, -0.360101, 0; p2, -0.153304, 0.360101, 0; p3, 0, 0, 0
t37.462; p1, 0.152523, -0.360574, 0; p2, -0.152523, 0.360574, 0; p3, 0, 0, 0
t37.463; p1, 0.151742, -0.361045, 0; p2, -0.151742, 0.361045, 0; p3, 0, 0, 0
t37.464; p1, 0.15096, -0.361515, 0; p2, -0.15096, 0.361515, 0; p3, 0, 0, 0
t37.465; p1, 0.150177, -0.361982, 0; p2, -0.150177, 0.361982, 0; p3, 0, 0, 0
t37.466; p1, 0.149394, -0.362448, 0; p2, -0.149394, 0.362448, 0; p3, 0, 0, 0
t37.467; p1, 0.14861, -0.362912, 0; p2, -0.14861, 0.362912, 0; p3, 0, 0, 0
t37.468; p1, 0.147825, -0.363374, 0; p2, -0.147825, 0.363374, 0; p3, 0, 0, 0
t37.469; p1, 0.147039, -0.363834, 0; p2, -0.147039, 0.363834, 0; p3, 0, 0, 0
t37.47; p1, 0.146252, -0.364292, 0; p2, -0.146252, 0.364292, 0; p3, 0, 0, 0
t37.471; p1, 0.145465, -0.364749, 0; p2, -0.145465, 0.364749, 0; p3, 0, 0, 0
t37.472; p1, 0.144677, -0.365204, 0; p2, -0.144677, 0.365204, 0; p3, 0, 0, 0
t37.473; p1, 0.143889, -0.365657, 0; p2, -0.143889, 0.365657, 0; p3, 0, 0, 0
t37.474; p1, 0.143099, -0.366108, 0; p2, -0.143099, 0.366108, 0; p3, 0, 0, 0
t37.475; p1, 0.142309, -0.366558, 0; p2, -0.142309, 0.366558, 0; p3, 0, 0, 0
t37.476; p1, 0.141519, -0.367005, 0; p2, -0.141519, 0.367005, 0; p3, 0, 0, 0
t37.477; p1, 0.140727, -0.367451, 0; p2, -0.140727, 0.367451, 0; p3, 0, 0, 0
t37.478; p1, 0.139935, -0.367895, 0; p2, -0.139935, 0.367895, 0; p3, 0, 0, 0
t37.479; p1, 0.139142, -0.368337, 0; p2, -0.139142, 0.368337, 0; p3, 0, 0, 0
t37.48; p1, 0.138349, -0.368778, 0; p2, -0.138349, 0.368778, 0; p3, 0, 0, 0
t37.481; p1, 0.137554, -0.369216, 0; p2, -0.137554, 0.369216, 0; p3, 0, 0, 0
t37.482; p1, 0.13676, -0.369653, 0; p2, -0.13676, 0.369653, 0; p3, 0, 0, 0
t37.483; p1, 0.135964, -0.370088, 0; p2, -0.135964, 0.370088, 0; p3, 0, 0, 0
t37.484; p1, 0.135168, -0.370521, 0; p2, -0.135168, 0.370521, 0; p3, 0, 0, 0
t37.485; p1, 0.134371, -0.370952, 0; p2, -0.134371, 0.370952, 0; p3, 0, 0, 0
t37.486; p1, 0.133573, -0.371382, 0; p2, -0.133573, 0.371382, 0; p3, 0, 0, 0
t37.487; p1, 0.132775, -0.371809, 0; p2, -0.132775, 0.371809, 0; p3, 0, 0, 0
t37.488; p1, 0.131977, -0.372235, 0; p2, -0.131977, 0.372235, 0; p3, 0, 0, 0
t37.489; p1, 0.131177, -0.372659, 0; p2, -0.131177, 0.372659, 0; p3, 0, 0, 0
t37.49; p1, 0.130377, -0.373082, 0; p2, -0.130377, 0.373082, 0; p3, 0, 0, 0
t37.491; p1, 0.129576, -0.373502, 0; p2, -0.129576, 0.373502, 0; p3, 0, 0, 0
t37.492; p1, 0.128775, -0.373921, 0; p2, -0.128775, 0.373921, 0; p3, 0, 0, 0
t37.493; p1, 0.127973, -0.374337, 0; p2, -0.127973, 0.374337, 0; p3, 0, 0, 0
t37.494; p1, 0.12717, -0.374752, 0; p2, -0.12717, 0.374752, 0; p3, 0, 0, 0
t37.495; p1, 0.126367, -0.375166, 0; p2, -0.126367, 0.375166, 0; p3, 0, 0, 0
t37.496; p1, 0.125563, -0.375577, 0; p2, -0.125563, 0.375577, 0; p3, 0, 0, 0
t37.497; p1, 0.124759, -0.375987, 0; p2, -0.124759, 0.375987, 0; p3, 0, 0, 0
t37.498; p1, 0.123954, -0.376394, 0; p2, -0.123954, 0.376394, 0; p3, 0, 0, 0
t37.499; p1, 0.123148, -0.3768, 0; p2, -0.123148, 0.3768, 0; p3, 0, 0, 0
t37.5; p1, 0.122342, -0.377204, 0; p2, -0.122342, 0.377204, 0; p3, 0, 0, 0
t37.501; p1, 0.121535, -0.377607, 0; p2, -0.121535, 0.377607, 0; p3, 0, 0, 0
t37.502; p1, 0.120728, -0.378007, 0; p2, -0.120728, 0.378007, 0; p3, 0, 0, 0
t37.503; p1, 0.11992, -0.378406, 0; p2, -0.11992, 0.378406, 0; p3, 0, 0, 0
t37.504; p1, 0.119111, -0.378803, 0; p2, -0.119111, 0.378803, 0; p3, 0, 0, 0
t37.505; p1, 0.118302, -0.379198, 0; p2, -0.118302, 0.379198, 0; p3, 0, 0, 0
t37.506; p1, 0.117492, -0.379591, 0; p2, -0.117492, 0.379591, 0; p3, 0, 0, 0
t37.507; p1, 0.116682, -0.379982, 0; p2, -0.116682, 0.379982, 0; p3, 0, 0, 0
t37.508; p1, 0.115871, -0.380372, 0; p2, -0.115871, 0.380372, 0; p3, 0, 0, 0
t37.509; p1, 0.11506, -0.38076, 0; p2, -0.11506, 0.38076, 0; p3, 0, 0, 0
t37.51; p1, 0.114248, -0.381146, 0; p2, -0.114248, 0.381146, 0; p3, 0, 0, 0
t37.511; p1, 0.113435, -0.38153, 0; p2, -0.113435, 0.38153, 0; p3, 0, 0, 0
t37.512; p1, 0.112622, -0.381912, 0; p2, -0.112622, 0.381912, 0; p3, 0, 0, 0
t37.513; p1, 0.111809, -0.382293, 0; p2, -0.111809, 0.382293, 0; p3, 0, 0, 0
t37.514; p1, 0.110995, -0.382671, 0; p2, -0.110995, 0.382671, 0; p3, 0, 0, 0
t37.515; p1, 0.11018, -0.383048, 0; p2, -0.11018, 0.383048, 0; p3, 0, 0, 0
t37.516; p1, 0.109365, -0.383423, 0; p2, -0.109365, 0.383423, 0; p3, 0, 0, 0
t37.517; p1, 0.10855, -0.383797, 0; p2, -0.10855, 0.383797, 0; p3, 0, 0, 0
t37.518; p1, 0.107733, -0.384168, 0; p2, -0.107733, 0.384168, 0; p3, 0, 0, 0
t37.519; p1, 0.106917, -0.384538, 0; p2, -0.106917, 0.384538, 0; p3, 0, 0, 0
t37.52; p1, 0.1061, -0.384906, 0; p2, -0.1061, 0.384906, 0; p3, 0, 0, 0
t37.521; p1, 0.105282, -0.385272, 0; p2, -0.105282, 0.385272, 0; p3, 0, 0, 0
t37.522; p1, 0.104464, -0.385636, 0; p2, -0.104464, 0.385636, 0; p3, 0, 0, 0
t37.523; p1, 0.103645, -0.385998, 0; p2, -0.103645, 0.385998, 0; p3, 0, 0, 0
t37.524; p1, 0.102826, -0.386359, 0; p2, -0.102826, 0.386359, 0; p3, 0, 0, 0
t37.525; p1, 0.102006, -0.386717, 0; p2, -0.102006, 0.386717, 0; p3, 0, 0, 0
t37.526; p1, 0.101186, -0.387074, 0; p2, -0.101186, 0.387074, 0; p3, 0, 0, 0
t37.527; p1, 0.100366, -0.387429, 0; p2, -0.100366, 0.387429, 0; p3, 0, 0, 0
t37.528; p1, 0.0995447, -0.387783, 0; p2, -0.0995447, 0.387783, 0; p3, 0, 0, 0
t37.529; p1, 0.0987232, -0.388134, 0; p2, -0.0987232, 0.388134, 0; p3, 0, 0, 0
t37.53; p1, 0.0979012, -0.388484, 0; p2, -0.0979012, 0.388484, 0; p3, 0, 0, 0
t37.531; p1, 0.0970788, -0.388832, 0; p2, -0.0970788, 0.388832, 0; p3, 0, 0, 0
t37.532; p1, 0.096256, -0.389178, 0; p2, -0.096256, 0.389178, 0; p3, 0, 0, 0
t37.533; p1, 0.0954326, -0.389522, 0; p2, -0.0954326, 0.389522, 0; p3, 0, 0, 0
t37.534; p1, 0.0946089, -0.389865, 0; p2, -0.0946089, 0.389865, 0; p3, 0, 0, 0
t37.535; p1, 0.0937847, -0.390205, 0; p2, -0.0937847, 0.390205, 0; p3, 0, 0, 0
t37.536; p1, 0.09296, -0.390544, 0; p2, -0.09296, 0.390544, 0; p3, 0, 0, 0
t37.537; p1, 0.092135, -0.390881, 0; p2, -0.092135, 0.390881, 0; p3, 0, 0, 0
t37.538; p1, 0.0913095, -0.391216, 0; p2, -0.0913095, 0.391216, 0; p3, 0, 0, 0
t37.539; p1, 0.0904835, -0.39155, 0; p2, -0.0904835, 0.39155, 0; p3, 0, 0, 0
t37.54; p1, 0.0896572, -0.391881, 0; p2, -0.0896572, 0.391881, 0; p3, 0, 0, 0
t37.541; p1, 0.0888305, -0.392211, 0; p2, -0.0888305, 0.392211, 0; p3, 0, 0, 0
t37.542; p1, 0.0880033, -0.392539, 0; p2, -0.0880033, 0.392539, 0; p3, 0, 0, 0
t37.543; p1, 0.0871757, -0.392865, 0; p2, -0.0871757, 0.392865, 0; p3, 0, 0, 0
t37.544; p1, 0.0863478, -0.393189, 0; p2, -0.0863478, 0.393189, 0; p3, 0, 0, 0
t37.545; p1, 0.0855194, -0.393512, 0; p2, -0.0855194, 0.393512, 0; p3, 0, 0, 0
t37.546; p1, 0.0846906, -0.393832, 0; p2, -0.0846906, 0.393832, 0; p3, 0, 0, 0
t37.547; p1, 0.0838615, -0.394151, 0; p2, -0.0838615, 0.394151, 0; p3, 0, 0, 0
t37.548; p1, 0.083032, -0.394469, 0; p2, -0.083032, 0.394469, 0; p3, 0, 0, 0
t37.549; p1, 0.082202, -0.394784, 0; p2, -0.082202, 0.394784, 0; p3, 0, 0, 0
t37.55; p1, 0.0813718, -0.395097, 0; p2, -0.0813718, 0.395097, 0; p3, 0, 0, 0
t37.551; p1, 0.0805411, -0.395409, 0; p2, -0.0805411, 0.395409, 0; p3, 0, 0, 0
t37.552; p1, 0.0797101, -0.395719, 0; p2, -0.0797101, 0.395719, 0; p3, 0, 0, 0
t37.553; p1, 0.0788787, -0.396027, 0; p2, -0.0788787, 0.396027, 0; p3, 0, 0, 0
t37.554; p1, 0.0780469, -0.396333, 0; p2, -0.0780469, 0.396333, 0; p3, 0, 0, 0
t37.555; p1, 0.0772148, -0.396638, 0; p2, -0.0772148, 0.396638, 0; p3, 0, 0, 0
t37.556; p1, 0.0763824, -0.39694, 0; p2, -0.0763824, 0.39694, 0; p3, 0, 0, 0
t37.557; p1, 0.0755496, -0.397241, 0; p2, -0.0755496, 0.397241, 0; p3, 0, 0, 0
t37.558; p1, 0.0747164, -0.39754, 0; p2, -0.0747164, 0.39754, 0; p3, 0, 0, 0
t37.559; p1, 0.0738829, -0.397837, 0; p2, -0.0738829, 0.397837, 0; p3, 0, 0, 0
t37.56; p1, 0.0730491, -0.398133, 0; p2, -0.0730491, 0.398133, 0; p3, 0, 0, 0
t37.561; p1, 0.072215, -0.398427, 0; p2, -0.072215, 0.398427, 0; p3, 0, 0, 0
t37.562; p1, 0.0713805, -0.398718, 0; p2, -0.0713805, 0.398718, 0; p3, 0, 0, 0
t37.563; p1, 0.0705457, -0.399008, 0; p2, -0.0705457, 0.399008, 0; p3, 0, 0, 0
t37.564; p1, 0.0697106, -0.399297, 0; p2, -0.0697106, 0.399297, 0; p3, 0, 0, 0
t37.565; p1, 0.0688751, -0.399583, 0; p2, -0.0688751, 0.399583, 0; p3, 0, 0, 0
t37.566; p1, 0.0680394, -0.399868, 0; p2, -0.0680394, 0.399868, 0; p3, 0, 0, 0
t37.567; p1, 0.0672034, -0.400151, 0; p2, -0.0672034, 0.400151, 0; p3, 0, 0, 0
t37.568; p1, 0.066367, -0.400432, 0; p2, -0.066367, 0.400432, 0; p3, 0, 0, 0
t37.569; p1, 0.0655304, -0.400711, 0; p2, -0.0655304, 0.400711, 0; p3, 0, 0, 0
t37.57; p1, 0.0646934, -0.400988, 0; p2, -0.0646934, 0.400988, 0; p3, 0, 0, 0
t37.571; p1, 0.0638562, -0.401264, 0; p2, -0.0638562, 0.401264, 0; p3, 0, 0, 0
t37.572; p1, 0.0630187, -0.401538, 0; p2, -0.0630187, 0.401538, 0; p3, 0, 0, 0
t37.573; p1, 0.0621809, -0.40181, 0; p2, -0.0621809, 0.40181, 0; p3, 0, 0, 0
t37.574; p1, 0.0613428, -0.40208, 0; p2, -0.0613428, 0.40208, 0; p3, 0, 0, 0
t37.575; p1, 0.0605045, -0.402349, 0; p2, -0.0605045, 0.402349, 0; p3, 0, 0, 0
t37.576; p1, 0.0596658, -0.402616, 0; p2, -0.0596658, 0.402616, 0; p3, 0, 0, 0
t37.577; p1, 0.058827, -0.402881, 0; p2, -0.058827, 0.402881, 0; p3, 0, 0, 0
t37.578; p1, 0.0579878, -0.403144, 0; p2, -0.0579878, 0.403144, 0; p3, 0, 0, 0
t37.579; p1, 0.0571484, -0.403405, 0; p2, -0.0571484, 0.403405, 0; p3, 0, 0, 0
t37.58; p1, 0.0563088, -0.403665, 0; p2, -0.0563088, 0.403665, 0; p3, 0, 0, 0
t37.581; p1, 0.0554689, -0.403922, 0; p2, -0.0554689, 0.403922, 0; p3, 0, 0, 0
t37.582; p1, 0.0546287, -0.404178, 0; p2, -0.0546287, 0.404178, 0; p3, 0, 0, 0
t37.583; p1, 0.0537883, -0.404432, 0; p2, -0.0537883, 0.404432, 0; p3, 0, 0, 0
t37.584; p1, 0.0529477, -0.404685, 0; p2, -0.0529477, 0.404685, 0; p3, 0, 0, 0
t37.585; p1, 0.0521068, -0.404935, 0; p2, -0.0521068, 0.404935, 0; p3, 0, 0, 0
t37.586; p1, 0.0512657, -0.405184, 0; p2, -0.0512657, 0.405184, 0; p3, 0, 0, 0
t37.587; p1, 0.0504244, -0.405431, 0; p2, -0.0504244, 0.405431, 0; p3, 0, 0, 0
t37.588; p1, 0.0495829, -0.405677, 0; p2, -0.0495829, 0.405677, 0; p3, 0, 0, 0
t37.589; p1, 0.0487411, -0.40592, 0; p2, -0.0487411, 0.40592, 0; p3, 0, 0, 0
t37.59; p1, 0.0478992, -0.406162, 0; p2, -0.0478992, 0.406162, 0; p3, 0, 0, 0
t37.591; p1, 0.047057, -0.406402, 0; p2, -0.047057, 0.406402, 0; p3, 0, 0, 0
t37.592; p1, 0.0462146, -0.40664, 0; p2, -0.0462146, 0.40664, 0; p3, 0, 0, 0
t37.593; p1, 0.045372, -0.406876, 0; p2, -0.045372, 0.406876, 0; p3, 0, 0, 0
t37.594; p1, 0.0445292, -0.407111, 0; p2, -0.0445292, 0.407111, 0; p3, 0, 0, 0
t37.595; p1, 0.0436862, -0.407343, 0; p2, -0.0436862, 0.407343, 0; p3, 0, 0, 0
t37.596; p1, 0.042843, -0.407574, 0; p2, -0.042843, 0.407574, 0; p3, 0, 0, 0
t37.597; p1, 0.0419997, -0.407804, 0; p2, -0.0419997, 0.407804, 0; p3, 0, 0, 0
t37.598; p1, 0.0411561, -0.408031, 0; p2, -0.0411561, 0.408031, 0; p3, 0, 0, 0
t37.599; p1, 0.0403124, -0.408257, 0; p2, -0.0403124, 0.408257, 0; p3, 0, 0, 0
t37.6; p1, 0.0394685, -0.408481, 0; p2, -0.0394685, 0.408481, 0; p3, 0, 0, 0
t37.601; p1, 0.0386245, -0.408703, 0; p2, -0.0386245, 0.408703, 0; p3, 0, 0, 0
t37.602; p1, 0.0377802, -0.408923, 0; p2, -0.0377802, 0.408923, 0; p3, 0, 0, 0
t37.603; p1, 0.0369358, -0.409142, 0; p2, -0.0369358, 0.409142, 0; p3, 0, 0, 0
t37.604; p1, 0.0360913, -0.409359, 0; p2, -0.0360913, 0.409359, 0; p3, 0, 0, 0
t37.605; p1, 0.0352465, -0.409574, 0; p2, -0.0352465, 0.409574, 0; p3, 0, 0, 0
t37.606; p1, 0.0344017, -0.409787, 0; p2, -0.0344017, 0.409787, 0; p3, 0, 0, 0
t37.607; p1, 0.0335567, -0.409999, 0; p2, -0.0335567, 0.409999, 0; p3, 0, 0, 0
t37.608; p1, 0.0327115, -0.410208, 0; p2, -0.0327115, 0.410208, 0; p3, 0, 0, 0
t37.609; p1, 0.0318662, -0.410416, 0; p2, -0.0318662, 0.410416, 0; p3, 0, 0, 0
t37.61; p1, 0.0310208, -0.410623, 0; p2, -0.0310208, 0.410623, 0; p3, 0, 0, 0
t37.611; p1, 0.0301752, -0.410827, 0; p2, -0.0301752, 0.410827, 0; p3, 0, 0, 0
t37.612; p1, 0.0293295, -0.41103, 0; p2, -0.0293295, 0.41103, 0; p3, 0, 0, 0
t37.613; p1, 0.0284837, -0.411231, 0; p2, -0.0284837, 0.411231, 0; p3, 0, 0, 0
t37.614; p1, 0.0276377, -0.41143, 0; p2, -0.0276377, 0.41143, 0; p3, 0, 0, 0
t37.615; p1, 0.0267916, -0.411627, 0; p2, -0.0267916, 0.411627, 0; p3, 0, 0, 0
t37.616; p1, 0.0259455, -0.411823, 0; p2, -0.0259455, 0.411823, 0; p3, 0, 0, 0
t37.617; p1, 0.0250992, -0.412017, 0; p2, -0.0250992, 0.412017, 0; p3, 0, 0, 0
t37.618; p1, 0.0242528, -0.412209, 0; p2, -0.0242528, 0.412209, 0; p3, 0, 0, 0
t37.619; p1, 0.0234063, -0.412399, 0; p2, -0.0234063, 0.412399, 0; p3, 0, 0, 0
t37.62; p1, 0.0225597, -0.412588, 0; p2, -0.0225597, 0.412588, 0; p3, 0, 0, 0
t37.621; p1, 0.021713, -0.412775, 0; p2, -0.021713, 0.412775, 0; p3, 0, 0, 0
t37.622; p1, 0.0208662, -0.41296, 0; p2, -0.0208662, 0.41296, 0; p3, 0, 0, 0
t37.623; p1, 0.0200193, -0.413143, 0; p2, -0.0200193, 0.413143, 0; p3, 0, 0, 0
t37.624; p1, 0.0191723, -0.413325, 0; p2, -0.0191723, 0.413325, 0; p3, 0, 0, 0
t37.625; p1, 0.0183253, -0.413505, 0; p2, -0.0183253, 0.413505, 0; p3, 0, 0, 0
t37.626; p1, 0.0174782, -0.413683, 0; p2, -0.0174782, 0.413683, 0; p3, 0, 0, 0
t37.627; p1, 0.016631, -0.413859, 0; p2, -0.016631, 0.413859, 0; p3, 0, 0, 0
t37.628; p1, 0.0157837, -0.414034, 0; p2, -0.0157837, 0.414034, 0; p3, 0, 0, 0
t37.629; p1, 0.0149364, -0.414207, 0; p2, -0.0149364, 0.414207, 0; p3, 0, 0, 0
t37.63; p1, 0.014089, -0.414378, 0; p2, -0.014089, 0.414378, 0; p3, 0, 0, 0
t37.631; p1, 0.0132415, -0.414547, 0; p2, -0.0132415, 0.414547, 0; p3, 0, 0, 0
t37.632; p1, 0.012394, -0.414715, 0; p2, -0.012394, 0.414715, 0; p3, 0, 0, 0
t37.633; p1, 0.0115464, -0.414881, 0; p2, -0.0115464, 0.414881, 0; p3, 0, 0, 0
t37.634; p1, 0.0106988, -0.415045, 0; p2, -0.0106988, 0.415045, 0; p3, 0, 0, 0
t37.635; p1, 0.00985117, -0.415207, 0; p2, -0.00985117, 0.415207, 0; p3, 0, 0, 0
t37.636; p1, 0.00900347, -0.415368, 0; p2, -0.00900347, 0.415368, 0; p3, 0, 0, 0
t37.637; p1, 0.00815573, -0.415527, 0; p2, -0.00815573, 0.415527, 0; p3, 0, 0, 0
t37.638; p1, 0.00730796, -0.415684, 0; p2, -0.00730796, 0.415684, 0; p3, 0, 0, 0
t37.639; p1, 0.00646016, -0.41584, 0; p2, -0.00646016, 0.41584, 0; p3, 0, 0, 0
t37.64; p1, 0.00561233, -0.415993, 0; p2, -0.00561233, 0.415993, 0; p3, 0, 0, 0
t37.641; p1, 0.00476448, -0.416145, 0; p2, -0.00476448, 0.416145, 0; p3, 0, 0, 0
t37.642; p1, 0.00391661, -0.416296, 0; p2, -0.00391661, 0.416296, 0; p3, 0, 0, 0
t37.643; p1, 0.00306873, -0.416444, 0; p2, -0.00306873, 0.416444, 0; p3, 0, 0, 0
t37.644; p1, 0.00222083, -0.416591, 0; p2, -0.00222083, 0.416591, 0; p3, 0, 0, 0
t37.645; p1, 0.00137292, -0.416736, 0; p2, -0.00137292, 0.416736, 0; p3, 0, 0, 0
t37.646; p1, 0.000525002, -0.416879, 0; p2, -0.000525002, 0.416879, 0; p3, 0, 0, 0
t37.647; p1, -0.000322915, -0.417021, 0; p2, 0.000322915, 0.417021, 0; p3, 0, 0, 0
t37.648; p1, -0.00117083, -0.417161, 0; p2, 0.00117083, 0.417161, 0; p3, 0, 0, 0
t37.649; p1, -0.00201874, -0.417299, 0; p2, 0.00201874, 0.417299, 0; p3, 0, 0, 0
t37.65; p1, -0.00286664, -0.417436, 0; p2, 0.00286664, 0.417436, 0; p3, 0, 0, 0
t37.651; p1, -0.00371453, -0.41757, 0; p2, 0.00371453, 0.41757, 0; p3, 0, 0, 0
t37.652; p1, -0.00456241, -0.417703, 0; p2, 0.00456241, 0.417703, 0; p3, 0, 0, 0
t37.653; p1, -0.00541026, -0.417835, 0; p2, 0.00541026, 0.417835, 0; p3, 0, 0, 0
t37.654; p1, -0.0062581, -0.417964, 0; p2, 0.0062581, 0.417964, 0; p3, 0, 0, 0
t37.655; p1, -0.00710591, -0.418092, 0; p2, 0.00710591, 0.418092, 0; p3, 0, 0, 0
t37.656; p1, -0.00795369, -0.418218, 0; p2, 0.00795369, 0.418218, 0; p3, 0, 0, 0
t37.657; p1, -0.00880143, -0.418343, 0; p2, 0.00880143, 0.418343, 0; p3, 0, 0, 0
t37.658; p1, -0.00964914, -0.418465, 0; p2, 0.00964914, 0.418465, 0; p3, 0, 0, 0
t37.659; p1, -0.0104968, -0.418586, 0; p2, 0.0104968, 0.418586, 0; p3, 0, 0, 0
t37.66; p1, -0.0113444, -0.418706, 0; p2, 0.0113444, 0.418706, 0; p3, 0, 0, 0
t37.661; p1, -0.012192, -0.418823, 0; p2, 0.012192, 0.418823, 0; p3, 0, 0, 0
t37.662; p1, -0.0130396, -0.418939, 0; p2, 0.0130396, 0.418939, 0; p3, 0, 0, 0
t37.663; p1, -0.013887, -0.419053, 0; p2, 0.013887, 0.419053, 0; p3, 0, 0, 0
t37.664; p1, -0.0147345, -0.419166, 0; p2, 0.0147345, 0.419166, 0; p3, 0, 0, 0
t37.665; p1, -0.0155818, -0.419276, 0; p2, 0.0155818, 0.419276, 0; p3, 0, 0, 0
t37.666; p1, -0.0164291, -0.419386, 0; p2, 0.0164291, 0.419386, 0; p3, 0, 0, 0
t37.667; p1, -0.0172764, -0.419493, 0; p2, 0.0172764, 0.419493, 0; p3, 0, 0, 0
t37.668; p1, -0.0181235, -0.419599, 0; p2, 0.0181235, 0.419599, 0; p3, 0, 0, 0
t37.669; p1, -0.0189706, -0.419703, 0; p2, 0.0189706, 0.419703, 0; p3, 0, 0, 0
t37.67; p1, -0.0198176, -0.419805, 0; p2, 0.0198176, 0.419805, 0; p3, 0, 0, 0
t37.671; p1, -0.0206646, -0.419905, 0; p2, 0.0206646, 0.419905, 0; p3, 0, 0, 0
t37.672; p1, -0.0215114, -0.420004, 0; p2, 0.0215114, 0.420004, 0; p3, 0, 0, 0
t37.673; p1, -0.0223582, -0.420101, 0; p2, 0.0223582, 0.420101, 0; p3, 0, 0, 0
t37.674; p1, -0.0232048, -0.420197, 0; p2, 0.0232048, 0.420197, 0; p3, 0, 0, 0
t37.675; p1, -0.0240514, -0.420291, 0; p2, 0.0240514, 0.420291, 0; p3, 0, 0, 0
t37.676; p1, -0.0248979, -0.420383, 0; p2, 0.0248979, 0.420383, 0; p3, 0, 0, 0
t37.677; p1, -0.0257443, -0.420473, 0; p2, 0.0257443, 0.420473, 0; p3, 0, 0, 0
t37.678; p1, -0.0265906, -0.420562, 0; p2, 0.0265906, 0.420562, 0; p3, 0, 0, 0
t37.679; p1, -0.0274367, -0.420649, 0; p2, 0.0274367, 0.420649, 0; p3, 0, 0, 0
t37.68; p1, -0.0282828, -0.420734, 0; p2, 0.0282828, 0.420734, 0; p3, 0, 0, 0
t37.681; p1, -0.0291287, -0.420818, 0; p2, 0.0291287, 0.420818, 0; p3, 0, 0, 0
t37.682; p1, -0.0299746, -0.4209, 0; p2, 0.0299746, 0.4209, 0; p3, 0, 0, 0
t37.683; p1, -0.0308203, -0.42098, 0; p2, 0.0308203, 0.42098, 0; p3, 0, 0, 0
t37.684; p1, -0.0316659, -0.421059, 0; p2, 0.0316659, 0.421059, 0; p3, 0, 0, 0
t37.685; p1, -0.0325113, -0.421136, 0; p2, 0.0325113, 0.421136, 0; p3, 0, 0, 0
t37.686; p1, -0.0333567, -0.421211, 0; p2, 0.0333567, 0.421211, 0; p3, 0, 0, 0
t37.687; p1, -0.0342019, -0.421285, 0; p2, 0.0342019, 0.421285, 0; p3, 0, 0, 0
t37.688; p1, -0.0350469, -0.421357, 0; p2, 0.0350469, 0.421357, 0; p3, 0, 0, 0
t37.689; p1, -0.0358919, -0.421427, 0; p2, 0.0358919, 0.421427, 0; p3, 0, 0, 0
t37.69; p1, -0.0367367, -0.421495, 0; p2, 0.0367367, 0.421495, 0; p3, 0, 0, 0
t37.691; p1, -0.0375813, -0.421562, 0; p2, 0.0375813, 0.421562, 0; p3, 0, 0, 0
t37.692; p1, -0.0384258, -0.421628, 0; p2, 0.0384258, 0.421628, 0; p3, 0, 0, 0
t37.693; p1, -0.0392701, -0.421691, 0; p2, 0.0392701, 0.421691, 0; p3, 0, 0, 0
t37.694; p1, -0.0401143, -0.421753, 0; p2, 0.0401143, 0.421753, 0; p3, 0, 0, 0
t37.695; p1, -0.0409583, -0.421813, 0; p2, 0.0409583, 0.421813, 0; p3, 0, 0, 0
t37.696; p1, -0.0418022, -0.421872, 0; p2, 0.0418022, 0.421872, 0; p3, 0, 0, 0
t37.697; p1, -0.0426459, -0.421929, 0; p2, 0.0426459, 0.421929, 0; p3, 0, 0, 0
t37.698; p1, -0.0434894, -0.421984, 0; p2, 0.0434894, 0.421984, 0; p3, 0, 0, 0
t37.699; p1, -0.0443328, -0.422038, 0; p2, 0.0443328, 0.422038, 0; p3, 0, 0, 0
t37.7; p1, -0.045176, -0.42209, 0; p2, 0.045176, 0.42209, 0; p3, 0, 0, 0
t37.701; p1, -0.046019, -0.42214, 0; p2, 0.046019, 0.42214, 0; p3, 0, 0, 0
t37.702; p1, -0.0468618, -0.422189, 0; p2, 0.0468618, 0.422189, 0; p3, 0, 0, 0
t37.703; p1, -0.0477045, -0.422236, 0; p2, 0.0477045, 0.422236, 0; p3, 0, 0, 0
