t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.155; p1, -0.485525, 0.108547, 0; p2, 0.485525, -0.108547, 0; p3, 0, 0, 0
t0.156; p1, -0.485339, 0.109233, 0; p2, 0.485339, -0.109233, 0; p3, 0, 0, 0
t0.157; p1, -0.485151, 0.109919, 0; p2, 0.485151, -0.109919, 0; p3, 0, 0, 0
t0.158; p1, -0.484963, 0.110605, 0; p2, 0.484963, -0.110605, 0; p3, 0, 0, 0
t0.159; p1, -0.484773, 0.111291, 0; p2, 0.484773, -0.111291, 0; p3, 0, 0, 0
t0.16; p1, -0.484582, 0.111977, 0; p2, 0.484582, -0.111977, 0; p3, 0, 0, 0
t0.161; p1, -0.484389, 0.112662, 0; p2, 0.484389, -0.112662, 0; p3, 0, 0, 0
t0.162; p1, -0.484196, 0.113347, 0; p2, 0.484196, -0.113347, 0; p3, 0, 0, 0
t0.163; p1, -0.484001, 0.114031, 0; p2, 0.484001, -0.114031, 0; p3, 0, 0, 0
t0.164; p1, -0.483806, 0.114716, 0; p2, 0.483806, -0.114716, 0; p3, 0, 0, 0
t0.165; p1, -0.483609, 0.1154, 0; p2, 0.483609, -0.1154, 0; p3, 0, 0, 0
t0.166; p1, -0.483411, 0.116083, 0; p2, 0.483411, -0.116083, 0; p3, 0, 0, 0
t0.167; p1, -0.483211, 0.116767, 0; p2, 0.483211, -0.116767, 0; p3, 0, 0, 0
t0.168; p1, -0.483011, 0.11745, 0; p2, 0.483011, -0.11745, 0; p3, 0, 0, 0
t0.169; p1, -0.482809, 0.118133, 0; p2, 0.482809, -0.118133, 0; p3, 0, 0, 0
t0.17; p1, -0.482606, 0.118816, 0; p2, 0.482606, -0.118816, 0; p3, 0, 0, 0
t0.171; p1, -0.482402, 0.119498, 0; p2, 0.482402, -0.119498, 0; p3, 0, 0, 0
t0.172; p1, -0.482197, 0.12018, 0; p2, 0.482197, -0.12018, 0; p3, 0, 0, 0
t0.173; p1, -0.481991, 0.120862, 0; p2, 0.481991, -0.120862, 0; p3, 0, 0, 0
t0.174; p1, -0.481783, 0.121543, 0; p2, 0.481783, -0.121543, 0; p3, 0, 0, 0
t0.175; p1, -0.481574, 0.122225, 0; p2, 0.481574, -0.122225, 0; p3, 0, 0, 0
t0.176; p1, -0.481364, 0.122906, 0; p2, 0.481364, -0.122906, 0; p3, 0, 0, 0
t0.177; p1, -0.481153, 0.123586, 0; p2, 0.481153, -0.123586, 0; p3, 0, 0, 0
t0.178; p1, -0.480941, 0.124266, 0; p2, 0.480941, -0.124266, 0; p3, 0, 0, 0
t0.179; p1, -0.480727, 0.124946, 0; p2, 0.480727, -0.124946, 0; p3, 0, 0, 0
t0.18; p1, -0.480513, 0.125626, 0; p2, 0.480513, -0.125626, 0; p3, 0, 0, 0
t0.181; p1, -0.480297, 0.126305, 0; p2, 0.480297, -0.126305, 0; p3, 0, 0, 0
t0.182; p1, -0.48008, 0.126984, 0; p2, 0.48008, -0.126984, 0; p3, 0, 0, 0
t0.183; p1, -0.479862, 0.127663, 0; p2, 0.479862, -0.127663, 0; p3, 0, 0, 0
t0.184; p1, -0.479642, 0.128342, 0; p2, 0.479642, -0.128342, 0; p3, 0, 0, 0
t0.185; p1, -0.479422, 0.12902, 0; p2, 0.479422, -0.12902, 0; p3, 0, 0, 0
t0.186; p1, -0.4792, 0.129698, 0; p2, 0.4792, -0.129698, 0; p3, 0, 0, 0
t0.187; p1, -0.478977, 0.130375, 0; p2, 0.478977, -0.130375, 0; p3, 0, 0, 0
t0.188; p1, -0.478753, 0.131052, 0; p2, 0.478753, -0.131052, 0; p3, 0, 0, 0
t0.189; p1, -0.478528, 0.131729, 0; p2, 0.478528, -0.131729, 0; p3, 0, 0, 0
t0.19; p1, -0.478302, 0.132405, 0; p2, 0.478302, -0.132405, 0; p3, 0, 0, 0
t0.191; p1, -0.478074, 0.133082, 0; p2, 0.478074, -0.133082, 0; p3, 0, 0, 0
t0.192; p1, -0.477845, 0.133758, 0; p2, 0.477845, -0.133758, 0; p3, 0, 0, 0
t0.193; p1, -0.477616, 0.134433, 0; p2, 0.477616, -0.134433, 0; p3, 0, 0, 0
t0.194; p1, -0.477384, 0.135108, 0; p2, 0.477384, -0.135108, 0; p3, 0, 0, 0
t0.195; p1, -0.477152, 0.135783, 0; p2, 0.477152, -0.135783, 0; p3, 0, 0, 0
t0.196; p1, -0.476919, 0.136458, 0; p2, 0.476919, -0.136458, 0; p3, 0, 0, 0
t0.197; p1, -0.476684, 0.137132, 0; p2, 0.476684, -0.137132, 0; p3, 0, 0, 0
t0.198; p1, -0.476448, 0.137806, 0; p2, 0.476448, -0.137806, 0; p3, 0, 0, 0
t0.199; p1, -0.476211, 0.138479, 0; p2, 0.476211, -0.138479, 0; p3, 0, 0, 0
t0.2; p1, -0.475973, 0.139152, 0; p2, 0.475973, -0.139152, 0; p3, 0, 0, 0
t0.201; p1, -0.475734, 0.139825, 0; p2, 0.475734, -0.139825, 0; p3, 0, 0, 0
t0.202; p1, -0.475494, 0.140498, 0; p2, 0.475494, -0.140498, 0; p3, 0, 0, 0
t0.203; p1, -0.475252, 0.14117, 0; p2, 0.475252, -0.14117, 0; p3, 0, 0, 0
t0.204; p1, -0.475009, 0.141842, 0; p2, 0.475009, -0.141842, 0; p3, 0, 0, 0
t0.205; p1, -0.474765, 0.142513, 0; p2, 0.474765, -0.142513, 0; p3, 0, 0, 0
t0.206; p1, -0.47452, 0.143184, 0; p2, 0.47452, -0.143184, 0; p3, 0, 0, 0
t0.207; p1, -0.474274, 0.143855, 0; p2, 0.474274, -0.143855, 0; p3, 0, 0, 0
t0.208; p1, -0.474026, 0.144525, 0; p2, 0.474026, -0.144525, 0; p3, 0, 0, 0
t0.209; p1, -0.473778, 0.145196, 0; p2, 0.473778, -0.145196, 0; p3, 0, 0, 0
t0.21; p1, -0.473528, 0.145865, 0; p2, 0.473528, -0.145865, 0; p3, 0, 0, 0
t0.211; p1, -0.473277, 0.146535, 0; p2, 0.473277, -0.146535, 0; p3, 0, 0, 0
t0.212; p1, -0.473025, 0.147204, 0; p2, 0.473025, -0.147204, 0; p3, 0, 0, 0
t0.213; p1, -0.472771, 0.147872, 0; p2, 0.472771, -0.147872, 0; p3, 0, 0, 0
t0.214; p1, -0.472517, 0.14854, 0; p2, 0.472517, -0.14854, 0; p3, 0, 0, 0
t0.215; p1, -0.472261, 0.149208, 0; p2, 0.472261, -0.149208, 0; p3, 0, 0, 0
t0.216; p1, -0.472004, 0.149876, 0; p2, 0.472004, -0.149876, 0; p3, 0, 0, 0
t0.217; p1, -0.471746, 0.150543, 0; p2, 0.471746, -0.150543, 0; p3, 0, 0, 0
t0.218; p1, -0.471487, 0.15121, 0; p2, 0.471487, -0.15121, 0; p3, 0, 0, 0
t0.219; p1, -0.471227, 0.151876, 0; p2, 0.471227, -0.151876, 0; p3, 0, 0, 0
t0.22; p1, -0.470965, 0.152542, 0; p2, 0.470965, -0.152542, 0; p3, 0, 0, 0
t0.221; p1, -0.470703, 0.153208, 0; p2, 0.470703, -0.153208, 0; p3, 0, 0, 0
t0.222; p1, -0.470439, 0.153873, 0; p2, 0.470439, -0.153873, 0; p3, 0, 0, 0
t0.223; p1, -0.470174, 0.154538, 0; p2, 0.470174, -0.154538, 0; p3, 0, 0, 0
t0.224; p1, -0.469908, 0.155202, 0; p2, 0.469908, -0.155202, 0; p3, 0, 0, 0
t0.225; p1, -0.469641, 0.155866, 0; p2, 0.469641, -0.155866, 0; p3, 0, 0, 0
t0.226; p1, -0.469372, 0.15653, 0; p2, 0.469372, -0.15653, 0; p3, 0, 0, 0
t0.227; p1, -0.469103, 0.157193, 0; p2, 0.469103, -0.157193, 0; p3, 0, 0, 0
t0.228; p1, -0.468832, 0.157856, 0; p2, 0.468832, -0.157856, 0; p3, 0, 0, 0
t0.229; p1, -0.46856, 0.158519, 0; p2, 0.46856, -0.158519, 0; p3, 0, 0, 0
t0.23; p1, -0.468287, 0.159181, 0; p2, 0.468287, -0.159181, 0; p3, 0, 0, 0
t0.231; p1, -0.468012, 0.159843, 0; p2, 0.468012, -0.159843, 0; p3, 0, 0, 0
t0.232; p1, -0.467737, 0.160504, 0; p2, 0.467737, -0.160504, 0; p3, 0, 0, 0
t0.233; p1, -0.46746, 0.161165, 0; p2, 0.46746, -0.161165, 0; p3, 0, 0, 0
